Year,Atot,EF,MM,BC
1961,1037.4142,814.5455,211.367,11.5018
1962,1046.9093,823.547,211.1611,12.2012
1963,1055.184,834.5022,208.0296,12.6522
1964,1084.1474,857.8664,212.5859,13.6951
1965,1106.99,879.5902,214.2154,13.1843
1966,1062.8913,850.3576,198.6751,13.8586
1967,1061.4241,840.8983,206.4041,14.1217
1968,1055.711,834.4625,207.3343,13.9142
1969,1030.4426,816.5246,201.9299,11.9882
1970,1044.7271,828.5312,209.3919,6.804
1971,1045.4302,827.1089,208.2988,10.0225
1972,1055.4659,841.6068,203.0782,10.7809
1973,1070.1528,861.488,196.8924,11.7724
1974,1094.3791,890.6312,192.4996,11.2483
1975,1122.6697,929.2458,181.4725,11.9514
1976,1105.6511,914.9134,176.6715,14.0661
1977,1067.2626,875.0947,179.2558,12.9121
1978,1022.1668,826.6505,181.7952,13.7211
1979,1003.7079,795.0531,194.7178,13.937
1980,1027.7337,801.4803,211.3883,14.865
1981,1031.9339,803.4347,211.9981,16.5012
1982,1031.1753,804.4288,210.2295,16.517
1983,1009.8915,785.192,207.0224,17.6772
1984,995.4737,769.2096,208.9472,17.3169
1985,975.2274,749.0194,208.3475,17.8605
1986,938.8802,722.7374,198.0918,18.051
1987,910.3648,700.0332,193.0992,17.2324
1988,923.5196,706.1149,200.7751,16.6296
1989,934.6242,715.2754,201.7404,17.6083
1990,951.89,725.6513,194.8529,18.0063
1991,948.0835,725.9178,190.5095,18.2767
1992,976.9346,752.7996,193.503,17.2525
1993,970.1793,748.2813,192.4223,16.0963
1994,974.0622,755.7926,190.6768,14.2133
1995,1024.6999,795.8227,200.7784,14.7193
1996,1064.2363,832.5566,204.4484,16.186
1997,1060.5385,832.7714,202.9245,15.1511
1998,1097.871,827.1737,206.2239,14.5535
1999,1061.0794,818.3615,210.0985,14.313
2000,1049.752,815.2445,212.9814,14.7107
2001,1077.5678,839.6553,220.4561,14.8762
2002,1105.4908,846.7533,228.9014,12.872
2003,1091.7514,830.6504,231.7504,14.3421
2004,1151.7208,887.6936,231.9931,13.0352
2005,1162.664,906.2858,232.7759,13.0848
2006,1146.356,890.0829,234.7403,13.3208
2007,1102.4377,859.2971,222.0774,13.0009
2008,1063.8235,835.9235,206.0898,13.9725
2009,1015.0053,795.6663,201.9183,13.5166
2010,1006.9009,777.1299,203.2474,12.2076
2011,970.8072,750.3092,204.4421,12.4813
2012,976.505,753.7691,203.9675,14.0853
2013,1007.7894,754.6692,205.1201,15.2739
2014,994.2716,744.7871,208.639,13.5503
2015,954.1676,721.1096,211.8969,13.8852
2016,952.1272,719.8774,215.4568,13.5603
2017,961.4504,715.976,218.72,13.375
